"V1" "V11"
"367" "col-144" "WBGene00000717"
"368" "col-145" "WBGene00000718"
"369" "col-146" "WBGene00000719"
"370" "col-147" "WBGene00000720"
"371" "col-149" "WBGene00000722"
"372" "col-150" "WBGene00000723"
"373" "col-154" "WBGene00000727"
"374" "col-155" "WBGene00000728"
"375" "col-157" "WBGene00000730"
"376" "col-159" "WBGene00000732"
"377" "col-160" "WBGene00000733"
"378" "col-161" "WBGene00000734"
"379" "col-162" "WBGene00000735"
"380" "col-166" "WBGene00000739"
"381" "col-167" "WBGene00000740"
"382" "col-168" "WBGene00000741"
"383" "col-169" "WBGene00000742"
"384" "col-170" "WBGene00000743"
"385" "col-178" "WBGene00000751"
"386" "col-179" "WBGene00000752"
"387" "col-180" "WBGene00000753"
"388" "col-181" "WBGene00000754"
"389" "col-184" "WBGene00000757"
"390" "coq-1" "WBGene00000761"
"391" "coq-2" "WBGene00000762"
"392" "coq-3" "WBGene00000763"
"393" "coq-4" "WBGene00000764"
"394" "coq-5" "WBGene00000765"
"395" "coq-6" "WBGene00000766"
"396" "coq-8" "WBGene00000767"
"397" "cor-1" "WBGene00000768"
"398" "cpb-1" "WBGene00000770"
"399" "cpb-2" "WBGene00000771"
"400" "cpb-3" "WBGene00000772"
"401" "cpf-1" "WBGene00000773"
"402" "cpf-2" "WBGene00000774"
"403" "cpl-1" "WBGene00000776"
"404" "cpn-1" "WBGene00000777"
"405" "cpn-2" "WBGene00000778"
"406" "cpn-3" "WBGene00000779"
"407" "cpn-4" "WBGene00000780"
"408" "cpr-1" "WBGene00000781"
"409" "cpr-3" "WBGene00000783"
"410" "cpr-4" "WBGene00000784"
"411" "cpr-5" "WBGene00000785"
"412" "cpr-6" "WBGene00000786"
"413" "cps-6" "WBGene00000787"
"414" "cpz-1" "WBGene00000788"
"415" "cpz-2" "WBGene00000789"
"416" "crb-1" "WBGene00000792"
"417" "crh-1" "WBGene00000793"
"418" "crn-1" "WBGene00000794"
"419" "crn-2" "WBGene00000795"
"420" "crn-3" "WBGene00000796"
"421" "crn-4" "WBGene00000797"
"422" "crn-5" "WBGene00000798"
"423" "crn-6" "WBGene00000799"
"424" "cars-1" "WBGene00000800"
"425" "cars-2" "WBGene00000801"
"426" "crt-1" "WBGene00000802"
"427" "csb-1" "WBGene00000803"
"428" "csc-1" "WBGene00000804"
"429" "csk-1" "WBGene00000812"
"430" "csn-1" "WBGene00000813"
"431" "csn-2" "WBGene00000814"
"432" "csn-3" "WBGene00000815"
"433" "csn-4" "WBGene00000816"
"434" "csn-5" "WBGene00000817"
"435" "csn-6" "WBGene00000818"
"436" "csp-1" "WBGene00000819"
"437" "csp-3" "WBGene00000821"
"438" "csq-1" "WBGene00000822"
"439" "ctl-1" "WBGene00000830"
"440" "ctl-2" "WBGene00000831"
"441" "ctn-1" "WBGene00000832"
"442" "cts-1" "WBGene00000833"
"443" "cua-1" "WBGene00000834"
"444" "cuc-1" "WBGene00000835"
"445" "cul-1" "WBGene00000836"
"446" "cul-2" "WBGene00000837"
"447" "cul-3" "WBGene00000838"
"448" "cul-4" "WBGene00000839"
"449" "cul-5" "WBGene00000840"
