ID mean fc padj line1 line2
F07G6.7 6.70726906652052 -1.68053026656872 0.00018874785427752 A25 C25
F22B7.9 6.67464576256809 2.23267657075128 6.12570484655665e-08 A25 C25
F22H10.10 7.5223827395124 -1.29949299039388 0.00217656665082268 A25 C25
F23B12.4c.2 8.16855929359507 2.34938610298569 1.81473378494774e-14 A25 C25
F23C8.8 8.25247407458316 1.35223417469858 0.000193965854344199 A25 C25
F25G6.1 9.43374606161943 1.45561520469842 2.85587451289868e-07 A25 C25
F40D4.17 8.39185737160803 1.84734046731523 3.44034236796891e-09 A25 C25
F49E11.2 7.20645780712765 -2.26029624717938 2.81307643213677e-10 A25 C25
F52C12.3 7.10643701980238 1.61166492393494 0.000153575264917411 A25 C25
F56D12.4a 8.61382123262314 1.86188694896315 6.98286450427898e-10 A25 C25
F58E10.7 5.62014201306852 1.86247761094014 0.00236794101208396 A25 C25
H14E04.3 7.00289381631507 2.50843804126581 1.35874443588116e-11 A25 C25
H25P06.5 8.37813766819665 1.18913861393096 0.00210893762016335 A25 C25
K03H6.5b 8.73365741806622 -1.06097837719378 0.005408436722067 A25 C25
R102.4e.4 6.31462321306173 2.34690110585266 1.00672510256947e-07 A25 C25
R10F2.1 9.71248327796106 1.41006647638289 2.81198687029293e-07 A25 C25
T05E11.9 9.88066337725979 -1.4826409385557 1.26478914927498e-08 A25 C25
T12B5.2 5.62077095638331 -1.89073982466894 0.0017032163010302 A25 C25
T16G12.4 12.0416565064283 -1.45322502024689 1.42729284558168e-12 A25 C25
T28D6.4 7.95613821238962 -2.081012143463 7.16603857457155e-11 A25 C25
Y119D3B.8 7.86606326098572 -1.25167839225344 0.00185484385109002 A25 C25
Y37E11AL.1 9.39045351699346 1.22097140563437 8.48637536180411e-05 A25 C25
Y39B6A.11 8.07267874152971 -1.51712398325837 1.12919069415296e-05 A25 C25
Y40A1A.4 9.45721382436077 -0.956743710685151 0.00694477272256039 A25 C25
Y43F8B.29 6.35180709724989 -1.59181525173706 0.00210893762016335 A25 C25
Y43F8B.8 7.62210571015128 -1.24951226817312 0.00327611831419897 A25 C25
Y47D7A.16 8.90803123600033 2.17584995875266 1.17606025436831e-14 A25 C25
Y49F6A.10 7.31344559406396 -1.61731888587269 3.78557026879513e-05 A25 C25
Y53F4B.45 8.60673107786162 -1.19204708773067 0.000937170490973347 A25 C25
Y71D11A.1 11.7325391839418 0.861535719028957 0.00120509868030434 A25 C25
Y71H2AM.16 8.19088689590505 1.3302373150533 0.000342100748866558 A25 C25
Y76A2B.3 10.3304968518856 0.935561780769511 0.00217656665082268 A25 C25
Y76B12C.4a 4.31781129276427 2.79579432672269 0.000676644836088005 A25 C25
ZK1098.6 5.79475522224723 2.6818745903341 4.16732131055491e-08 A25 C25
ZK1236.9b 5.51347181686566 2.22231081485685 8.58293120137148e-05 A25 C25
C05D11.13 6.26627224501567 1.97057168053245 0.00136056068039202 A25 D25
C46F11.6 8.52066912235696 1.74149564048114 0.00426643118906635 A25 D25
C56G7.3c 7.93644451314363 -2.4579085790788 1.40940906380081e-06 A25 D25
F13H8.8 6.92682287414598 2.67580976474599 5.14702274559442e-08 A25 D25
F22B7.9 6.8725694033104 2.4694231641729 1.07282247369398e-06 A25 D25
F42G4.6 2.8036869217026 -3.09595353812292 0.000605204725196866 A25 D25
F49E11.2 7.21740528850456 -2.19802290386331 9.78057854578044e-05 A25 D25
F55G1.10 7.91833005457477 3.72495123897768 3.33713539070529e-17 A25 D25
F56D12.4a 9.05452089241996 2.40345241007109 5.18659946369783e-07 A25 D25
H14A12.5 8.68573155465645 3.93620216063354 5.02806952661416e-20 A25 D25
