"ID" "up_or_down" "duration" "completeness" "stgen" "lineage"
"C05C10.4.3" "C05C10.4.3" 1 11 0 2 "B"
"C06A1.31" "C06A1.3" 1 11 0 2 "B"
"C27D8.3b" "C27D8.3b" 2 11 0 2 "B"
"C47B2.8.11" "C47B2.8" 2 11 0 2 "B"
"F31C3.91" "F31C3.9" 1 11 0 2 "B"
"R07H5.91" "R07H5.9" 2 2 1 2 "B"
"W02G9.1.1" "W02G9.1" 2 11 0 2 "B"
"ZK1098.6.1" "ZK1098.6" 2 2 1 2 "B"
"C04F12.5" "C04F12.5" 2 2 1 3 "B"
"C05D11.131" "C05D11.13" 2 1 1 3 "B"
"C06A1.3.1" "C06A1.3" 1 10 0 3 "B"
"F49E11.2.1" "F49E11.2" 2 2 1 3 "B"
"T24A11.31" "T24A11.3" 2 1 1 3 "B"
"W02G9.1.2" "W02G9.1" 2 10 0 3 "B"
"Y47H10A.1.11" "Y47H10A.1" 1 9 0 3 "B"
"B0285.7" "B0285.7" 2 2 1 4 "B"
"B0454.9.1" "B0454.9" 2 1 1 4 "B"
"B0511.111" "B0511.11" 1 9 0 4 "B"
"C06H2.4" "C06H2.4" 1 9 0 4 "B"
"C28C12.1c1" "C28C12.1c" 2 1 1 4 "B"
"F08B4.2c" "F08B4.2c" 2 6 1 4 "B"
"F08G12.41" "F08G12.4" 2 1 1 4 "B"
"F20D12.5.1" "F20D12.5" 2 1 1 4 "B"
"F49E11.2.2" "F49E11.2" 2 1 1 4 "B"
"F54D10.31" "F54D10.3" 2 1 1 4 "B"
"R07E5.41" "R07E5.4" 2 1 1 4 "B"
"T26C12.41" "T26C12.4" 1 9 0 4 "B"
"W03D2.5c" "W03D2.5c" 2 9 0 4 "B"
"W06H8.61" "W06H8.6" 1 9 0 4 "B"
"W09B6.5" "W09B6.5" 2 1 1 4 "B"
"Y24F12A.3" "Y24F12A.3" 2 1 1 4 "B"
"Y67D8A.31" "Y67D8A.3" 2 1 1 4 "B"
"ZC123.4c1" "ZC123.4c" 1 8 0 4 "B"
"ZK1098.6.2" "ZK1098.6" 1 9 0 4 "B"
"B0454.9.2" "B0454.9" 1 8 0 5 "B"
"C09F5.1" "C09F5.1" 2 3 1 5 "B"
"C28C12.1c.11" "C28C12.1c" 1 8 0 5 "B"
"F49E11.2.3" "F49E11.2" 1 8 0 5 "B"
"F54D10.3.11" "F54D10.3" 1 8 0 5 "B"
"T07F10.6" "T07F10.6" 1 8 0 5 "B"
"W06H8.6.1" "W06H8.6" 2 3 1 5 "B"
"W09B6.5.1" "W09B6.5" 1 8 0 5 "B"
"Y37E3.13a1" "Y37E3.13a" 1 8 0 5 "B"
"Y38F2AL.1" "Y38F2AL.1" 1 8 0 5 "B"
"Y53F4B.45" "Y53F4B.45" 1 8 0 5 "B"
"Y54F10BM.12" "Y54F10BM.12" 2 1 1 5 "B"
"C04F12.5.1" "C04F12.5" 1 7 0 6 "B"
"C18D4.6c" "C18D4.6c" 1 7 0 6 "B"
"F01F1.3" "F01F1.3" 1 7 0 6 "B"
"F31B9.3" "F31B9.3" 2 3 1 6 "B"
"F32B6.9" "F32B6.9" 2 3 1 6 "B"
"F44G3.6.21" "F44G3.6.2" 2 2 1 6 "B"
"F55C9.1" "F55C9.1" 2 3 1 6 "B"
"K10B4.6a1" "K10B4.6a" 2 3 1 6 "B"
"M01D7.5" "M01D7.5" 1 7 0 6 "B"
"M142.6c" "M142.6c" 2 3 1 6 "B"
"T07F10.6.1" "T07F10.6" 1 5 1 6 "B"
"Y22F5A.3b1" "Y22F5A.3b" 2 2 1 6 "B"
"Y48B6A.101" "Y48B6A.10" 2 4 1 6 "B"
"Y66D12A.31" "Y66D12A.3" 1 7 0 6 "B"
"Y75B12B.41" "Y75B12B.4" 2 2 1 6 "B"
"ZC123.4c.1" "ZC123.4c" 1 5 1 6 "B"
"ZC328.51" "ZC328.5" 2 2 1 6 "B"
"B0285.7.1" "B0285.7" 2 1 1 8 "B"
"EEED8.81" "EEED8.8" 2 1 1 8 "B"
"F13H8.81" "F13H8.8" 2 1 1 8 "B"
"T07F10.6.2" "T07F10.6" 2 5 0 8 "B"
"W02D7.51" "W02D7.5" 1 5 0 8 "B"
"Y62E10A.4a1" "Y62E10A.4a" 1 5 0 8 "B"
"Y71A12B.15" "Y71A12B.15" 1 5 0 8 "B"
"Y73F8A.311" "Y73F8A.31" 1 5 0 8 "B"
"Y75B12B.4.1" "Y75B12B.4" 1 5 0 8 "B"
"ZK1098.6.3" "ZK1098.6" 2 1 1 8 "B"
"B0454.9.3" "B0454.9" 2 1 1 9 "B"
"EEED8.8.1" "EEED8.8" 1 4 0 9 "B"
"F08B4.2c.1" "F08B4.2c" 1 4 0 9 "B"
"F31B9.3.1" "F31B9.3" 1 4 0 9 "B"
"F37D6.61" "F37D6.6" 1 4 0 9 "B"
"F47B10.1" "F47B10.1" 2 4 0 9 "B"
"F55C9.1.1" "F55C9.1" 1 4 0 9 "B"
"M142.6c.1" "M142.6c" 1 4 0 9 "B"
"Y38F2AL.1.1" "Y38F2AL.1" 2 3 1 9 "B"
"Y47H10A.1.2" "Y47H10A.1" 2 2 1 9 "B"
"Y67D8A.3.11" "Y67D8A.3" 1 4 0 9 "B"
"Y75B12B.4.2" "Y75B12B.4" 1 4 0 9 "B"
"ZK1098.6.4" "ZK1098.6" 1 4 0 9 "B"
"C03E10.3.11" "C03E10.3" 2 2 1 10 "B"
"F08G12.4.1" "F08G12.4" 1 3 0 10 "B"
"F29C12.1a.1" "F29C12.1a" 1 3 0 10 "B"
"F32A7.6" "F32A7.6" 1 1 1 10 "B"
"F42G8.4b.11" "F42G8.4b.1" 2 1 1 10 "B"
"F44G3.6.2.11" "F44G3.6.2" 1 3 0 10 "B"
"F47A4.51" "F47A4.5" 1 3 0 10 "B"
"R07H5.9.11" "R07H5.9" 2 1 1 10 "B"
"T06C12.71" "T06C12.7" 1 3 0 10 "B"
"VF11C1L.1" "VF11C1L.1" 1 3 0 10 "B"
"Y37H2B.11" "Y37H2B.1" 1 3 0 10 "B"
"Y67D8A.3.21" "Y67D8A.3" 2 2 1 10 "B"
"ZC328.5.1" "ZC328.5" 1 3 0 10 "B"
"ZK1098.6.5" "ZK1098.6" 2 1 1 10 "B"
"B0348.5a1" "B0348.5a" 1 2 0 11 "B"
"C05E11.1" "C05E11.1" 1 2 0 11 "B"
"F13H8.8.1" "F13H8.8" 2 2 0 11 "B"
"F32A7.6.1" "F32A7.6" 2 1 1 11 "B"
"F35F11.2" "F35F11.2" 1 2 0 11 "B"
"Y69A2AR.31" "Y69A2AR.31" 1 2 0 11 "B"
"ZC123.4c.2" "ZC123.4c" 2 2 0 11 "B"
"C06H2.4.1" "C06H2.4" 1 1 0 12 "B"
"F08G12.4.2" "F08G12.4" 1 1 0 12 "B"
"F32A7.6.2" "F32A7.6" 1 1 0 12 "B"
"T26C11.51" "T26C11.5" 2 1 0 12 "B"
"T26C11.91" "T26C11.9" 2 1 0 12 "B"
"Y47H10A.1.3" "Y47H10A.1" 2 1 0 12 "B"
"Y69A2AR.31.1" "Y69A2AR.31" 2 1 0 12 "B"
