ID up_or_down duration completeness stgen up_or_do
B527 W06H8.6 1 1 1 4 W06H8.6
B916 W06H8.6 2 4 1 5 W06H8.6
B1364 W06H8.6 1 4 0 9 W06H8.6
B528 W09B6.5 2 1 1 4 W09B6.5
B810 W09B6.5 1 3 1 5 W09B6.5
B1017 W09B6.5 2 2 1 8 W09B6.5
B1365 W09B6.5 1 3 0 10 W09B6.5
B117 W09H1.2 2 1 1 10 W09H1.2
B1366 W09H1.2 1 2 0 11 W09H1.2
B529 W10D5.1 2 1 1 4 W10D5.1
B811 W10D5.1 1 3 1 5 W10D5.1
B917 W10D5.1 2 1 1 8 W10D5.1
B129 W10D5.1 1 3 1 9 W10D5.1
B1367 W10D5.1 2 1 0 12 W10D5.1
B426 Y102A5C.3 2 1 1 3 Y102A5C.3
B530 Y102A5C.3 1 1 1 4 Y102A5C.3
B623 Y102A5C.3 2 1 1 5 Y102A5C.3
B1019 Y102A5C.3 1 4 1 6 Y102A5C.3
B1210 Y102A5C.3 2 2 1 10 Y102A5C.3
B1368 Y102A5C.3 1 1 0 12 Y102A5C.3
B1369 Y102A5C.6 2 4 0 9 Y102A5C.6
B531 Y110A7A.20 2 1 1 4 Y110A7A.20
B1370 Y110A7A.20 1 8 0 5 Y110A7A.20
B118 Y20F4.4a 2 1 1 10 Y20F4.4
B1371 Y20F4.4a 1 2 0 11 Y20F4.4
B119 Y22F5A.3b 2 5 1 6 Y22F5A.3
B1372 Y22F5A.3b 1 2 0 11 Y22F5A.3
B812 Y23H5A.4a 2 3 1 5 Y23H5A.4
B1373 Y23H5A.4a 1 5 0 8 Y23H5A.4
B533 Y24F12A.3 2 1 1 4 Y24F12A.3
B1374 Y24F12A.3 1 8 0 5 Y24F12A.3
B429 Y37E3.13a 2 1 1 3 Y37E3.13
B1375 Y37E3.13a 1 9 0 4 Y37E3.13
B430 Y37H2B.1 2 3 1 1 Y37H2B.1
B534 Y37H2B.1 1 1 1 4 Y37H2B.1
B813 Y37H2B.1 2 3 1 5 Y37H2B.1
B919 Y37H2B.1 1 1 1 8 Y37H2B.1
B1021 Y37H2B.1 2 1 1 9 Y37H2B.1
B1376 Y37H2B.1 1 3 0 10 Y37H2B.1
B625 Y38F2AR.10 2 1 1 5 Y38F2AR.10
B1377 Y38F2AR.10 1 7 0 6 Y38F2AR.10
B214 Y39B6A.25 2 1 1 1 Y39B6A.25
B320 Y39B6A.25 1 1 1 2 Y39B6A.25
B814 Y39B6A.25 2 5 1 3 Y39B6A.25
B1378 Y39B6A.25 1 5 0 8 Y39B6A.25
B1379 Y40A1A.4 1 12 0 1 Y40A1A.4
