ID up_or_down duration completeness stgen up_or_do
A1224 Y71H2AL.1 2 4 1 8 Y71H2AL.1
A1387 Y71H2AL.1 1 1 0 12 Y71H2AL.1
A520 Y73F8A.31 1 3 1 2 Y73F8A.31
A625 Y73F8A.31 2 1 1 5 Y73F8A.31
A827 Y73F8A.31 1 2 1 6 Y73F8A.31
A927 Y73F8A.31 2 1 1 8 Y73F8A.31
A1121 Y73F8A.31 1 2 1 9 Y73F8A.31
A1225 Y73F8A.31 2 1 1 11 Y73F8A.31
A1388 Y73F8A.31 1 1 0 12 Y73F8A.31
A1389 Y75B12B.4 2 3 0 10 Y75B12B.4
A1122 Y76A2B.3 2 1 1 10 Y76A2B.3
A1390 Y76A2B.3 1 2 0 11 Y76A2B.3
A521 Y94H6A.4 2 2 1 3 Y94H6A.4
A828 Y94H6A.4 1 3 1 5 Y94H6A.4
A928 Y94H6A.4 2 1 1 8 Y94H6A.4
A1028 Y94H6A.4 1 1 1 9 Y94H6A.4
A1123 Y94H6A.4 2 1 1 10 Y94H6A.4
A1391 Y94H6A.4 1 2 0 11 Y94H6A.4
A1124 ZC123.4c 2 3 1 8 ZC123.4
A1392 ZC123.4c 1 2 0 11 ZC123.4
A929 ZC416.1 2 1 1 8 ZC416.1
A1029 ZC416.1 1 1 1 9 ZC416.1
A1393 ZC416.1 2 3 0 10 ZC416.1
A1030 ZK1010.5 2 2 1 8 ZK1010.5
A1394 ZK1010.5 1 3 0 10 ZK1010.5
A930 ZK662.3b 2 6 1 3 ZK662.3
A1395 ZK662.3b 1 4 0 9 ZK662.3
