ID	up_or_down	duration	completeness	stgen	wilcox_sig	overall_mRNA_fc	wilcox_dir	mRNA_fold_change	mRNA_before	mRNA_after	22G_fold_change	22G_before	22G_after	MAplot_significant	ID
C05C10.4.3	1	12	0	1	0	-0.0111542777722953	0	-0.320021803717607	2195.13293048412	1758.22935003324	-0.53634551351742	177.775335448353	122.268330472061	0	C05C10.4
C16H3.3a	1	10	0	3	1	-0.429329464928125	-1	0.0532217215666435	455.570238679535	472.727867643298	-0.241095903264926	378.943988018855	320.471501135442	0	C16H3.3
C18D4.6c	2	12	0	1	1	-0.948461353524851	-1	-0.656298096833449	91.8307758884473	57.9015287962754	0.352382776292545	812.110055116342	1037.07114038953	0	C18D4.6
C27D8.3b	2	5	0	8	1	-0.687962955798097	-1	0.273994122668807	345.38075999788	417.826555708548	0.423405413038793	1879.11337827959	2520.40012124299	0	C27D8.3
C28A5.4	1	3	1	5	0	0.133521041124061	0	-0.0166327075212944	305.737508135961	302.221464711312	-0.493616575552866	148.950062951248	105.500894842133	0	C28A5.4
C28A5.4	2	1	1	8	0	0.133521041124061	0	0.161757136200291	185.86755758922	208.039163720992	0.123279291680411	129.208984414811	140.824648608132	0	C28A5.4
C28A5.4	1	1	1	9	0	0.133521041124061	0	-0.332637505112317	208.039163720992	164.994535944523	-0.569536582924678	140.824648608132	94.5661567877791	0	C28A5.4
C28A5.4	2	2	1	10	0	0.133521041124061	0	-0.574124955415282	164.994535944523	110.497456355271	1.14752837016276	94.5661567877791	210.711564457052	0	C28A5.4
C28A5.4	1	1	0	12	0	0.133521041124061	0	0.360121244121808	146.243209142213	187.991630046602	-0.749520791323074	156.923331264912	92.9329703780329	0	C28A5.4
C34C12.9	1	3	1	1	0	0.0147799384140654	0	-0.0907265614032466	84.2830408839174	79.0850149412542	-0.354981493885781	367.671716495458	287.256920988576	0	C34C12.9
C34C12.9	2	8	1	4	0	0.0147799384140654	0	0.317882283912045	60.2496301898322	75.3476323368246	0.315919600021379	290.713433172865	362.126299835602	0	C34C12.9
C34C12.9	1	1	0	12	0	0.0147799384140654	0	-0.392274332644009	107.00722620162	81.2936778579899	-0.435748374499292	396.588055378596	292.940884887278	0	C34C12.9
C47B2.8	2	1	0	12	0	0.0319729333971779	0	0.249936445730215	310.320955984697	369.208786938371	0.861237510682384	537.819053517016	977.816470934086	1	C47B2.8
C48E7.11	1	2	1	3	0	-0.0407690141508574	0	0.0842080020674381	645.514833308137	684.374004463991	-4.29956003638988	18.6923043417373	0	0	C48E7.11
C48E7.11	2	1	1	5	0	-0.0407690141508574	0	-0.30667965760688	821.578991057299	664.055420168433	0.497986306178623	8.88234320351477	12.9562502437707	0	C48E7.11
C48E7.11	1	2	1	6	0	-0.0407690141508574	0	0.337220702330086	664.055420168433	839.178151802077	-1.27039334554297	12.9562502437707	4.78551794128929	0	C48E7.11
C48E7.11	2	3	1	8	0	-0.0407690141508574	0	0.011909366934983	839.178151802077	846.142481016473	1.41648674246866	4.78551794128929	14.4435537033982	0	C48E7.11
C48E7.11	1	2	0	11	0	-0.0407690141508574	0	0.0872476725317917	713.429229076425	757.967852261472	-2.44134116443798	12.1798592171706	1.42657573877193	0	C48E7.11
D2096.1a	2	1	1	8	0	-0.121700587219371	0	-0.286970100500678	245.511624576806	201.046250654741	0.413425424975294	2480.49346623495	3303.96290965234	0	D2096.1
D2096.1a	1	1	1	9	0	-0.121700587219371	0	0.410551915971177	201.046250654741	267.558706937065	-0.489660141330345	3303.96290965234	2352.77095637743	0	D2096.1
D2096.1a	2	3	0	10	0	-0.121700587219371	0	-0.236202347390141	267.558706937065	227.00020925159	0.397087715904791	2352.77095637743	3098.55618484821	0	D2096.1
EEED8.8	2	2	1	6	1	0.204517634048505	1	0.238993979767796	578.102526534941	682.439092044003	0.983540396327423	52.7504474210665	105.281394708364	0	EEED8.8
EEED8.8	1	5	0	8	1	0.204517634048505	1	-0.308949961668004	682.439092044003	550.691903967333	-1.4495156987935	105.281394708364	37.9143284714203	0	EEED8.8
F08G12.4	2	5	1	5	0	-0.147421960297159	0	-0.0492443983522453	289.798585910864	280.040072805895	1.27578852382572	62.8596595941045	153.624110033281	0	F08G12.4
F08G12.4	1	3	0	10	0	-0.147421960297159	0	0.358081900498214	176.886034030615	227.00020925159	-0.580393386386867	124.336983924673	82.8230426767603	0	F08G12.4
F11A6.2	2	1	1	3	0	-1.25550094470202	0	0.251051074835613	102.39200804198	122.044122692224	0.501685750531289	426.52439907055	604.317687855405	0	F11A6.2
F11A6.2	1	9	0	4	0	-1.25550094470202	0	-0.185135591526046	122.044122692224	107.22547678702	-0.345074030073524	604.317687855405	475.546989972791	0	F11A6.2
F15E6.12	2	3	1	6	0	NA	0	NA	NA	NA	0.869589945135819	53.6758938670501	98.9007041199787	0	F15E6.12
F15E6.12	1	4	0	9	0	NA	0	NA	NA	NA	-0.453341998580425	93.8830990720883	68.2977799022849	0	F15E6.12
F17A9.4	1	12	0	1	1	0.164868296482728	1	-0.362160183225686	835.282673834644	649.626908446017	-1.25837286361781	121.210455987514	50.0858221210851	0	F17A9.4
F19B2.6	2	4	1	5	0	0.0378805688922919	0	-0.160698846356462	65.2046818299443	58.2261537517207	0.340304518632236	620.397509907031	785.704032640095	0	F19B2.6
