"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"
"H10E21.5"	5	1	0	0	0	4	0	1	1	0	0	1
"H11E01.2"	44	26	16	10	22	16	3	5	15	16	11	2
"H11E01.3"	12	5	2	2	0	1	0	4	5	8	2	2
"H11L12.1"	656	574	315	284	397	296	187	218	340	420	294	227
"H12C20.2a"	631	377	215	121	295	160	137	109	255	221	168	136
"H12C20.3b.1"	0	0	0	1	0	0	0	0	0	0	1	0
"H12C20.6a"	2	0	2	0	1	1	1	0	3	1	1	0
"H12D21.10a"	32	18	25	13	32	19	11	22	23	49	25	25
"H12D21.11"	0	0	0	0	1	0	0	0	0	0	0	0
"H12D21.4"	0	0	0	1	0	0	0	0	0	0	0	0
"H12D21.7c"	38	20	13	13	39	18	15	8	19	18	19	8
"H12D21.8"	36	45	30	23	46	35	25	51	86	116	75	39
"H12D21.9"	3	4	1	0	0	1	0	0	0	2	1	0
"H12I13.1"	13	7	2	1	4	3	1	1	1	4	1	2
"H12I13.2"	0	0	0	0	2	0	0	0	0	0	0	0
"H12I13.4"	642	361	176	142	292	169	95	88	197	162	126	98
"H12I19.3"	1	0	0	0	0	0	0	0	0	0	0	0
"H12I19.4a"	0	0	0	0	0	0	0	0	0	0	1	0
"H12I19.6"	1	2	0	1	1	2	0	0	0	0	0	1
"H13N06.2"	16	12	6	3	7	7	1	5	0	7	6	6
"H13N06.4a"	2	1	2	0	3	2	0	3	3	3	1	1
"H13N06.5"	167	59	52	68	91	66	28	12	22	17	6	13
"H13N06.7"	1	0	0	0	0	1	0	0	0	0	0	0
"H14A12.1"	5	10	2	0	7	4	4	5	6	3	5	2
"H14A12.2b.4"	5	5	3	5	2	4	5	3	8	14	6	10
"H14A12.3"	218	206	144	112	98	121	96	89	207	202	133	101
"H14A12.5"	47	14	15	14	26	4	7	11	34	108	48	37
"H14A12.8"	0	0	0	0	0	0	0	0	0	1	0	0
"H14E04.1"	4985	2511	1348	1273	3559	1368	848	1069	2039	2528	1670	1366
"H14E04.2c"	35	30	23	17	10	19	44	31	31	23	28	27
"H14E04.3"	99	14	10	2	19	3	2	3	13	9	5	4
"H14E04.4"	0	1	0	0	0	1	0	0	0	0	0	0
"H14E04.5"	89	45	17	17	35	21	18	11	34	23	27	7
"H14N18.3"	0	0	0	1	0	1	0	0	0	0	0	0
"H14N18.4b"	9	4	3	0	3	5	2	2	1	3	1	1
"H15N14.1e"	5	0	1	0	1	0	0	0	2	0	0	0
"H15N14.2a"	37	10	7	6	43	4	4	6	9	3	6	4
"H15N14.3"	1	0	0	1	0	0	1	0	1	1	1	0
"H15N14.4"	4	1	1	0	3	1	1	1	2	2	3	3
"H16D19.4"	1281	637	433	429	823	429	265	244	458	620	331	246
"H16D19.5"	261	248	157	162	189	146	117	139	283	370	185	105
"H16D19.6"	126	72	42	45	68	46	26	21	48	44	25	19
"H16D19.7"	1098	628	402	349	596	478	340	269	572	686	400	309
"H16O14.1d"	5	6	1	3	8	3	2	2	2	5	1	4
"H17B01.1a"	11	3	2	3	11	3	0	0	4	2	1	1
"H17B01.2"	1	0	0	0	0	0	2	0	0	0	0	0
"H17B01.3"	168	100	49	41	51	38	39	10	19	11	17	14
"H17B01.4a"	181	79	51	48	140	52	35	34	68	69	43	35
"H17B01.5"	1	0	1	0	1	0	0	0	0	0	0	0
"H18N23.1"	0	0	1	1	1	0	0	0	0	1	0	0
"H18N23.2c"	0	0	0	0	0	0	0	0	2	0	0	0
"H19M22.2b"	128	88	37	39	70	72	36	44	85	128	56	48
"H19M22.4"	1	0	0	0	0	1	0	0	0	0	0	0
"H19N07.1a.1"	476	255	150	112	246	128	81	77	171	125	104	99
"H19N07.3b"	9	7	2	5	6	3	2	2	5	8	10	1
"H20E11.1a"	1	0	0	0	0	0	0	0	1	0	0	0
"H20E11.2"	0	0	0	0	0	0	0	0	2	0	0	2
"H20E11.3b"	2	1	0	1	0	1	1	0	2	0	0	0
"H20J04.1"	6	0	0	1	1	2	1	0	1	0	0	0
"H20J04.2"	372	256	152	122	169	161	117	90	204	188	114	118
"H20J04.3"	128	91	48	37	64	38	35	40	59	57	43	43
"H20J04.4b"	192	115	52	38	92	57	31	43	83	62	45	36
"H20J04.5"	82	69	50	36	53	38	34	24	60	70	35	31
"H20J04.6"	563	352	176	174	337	205	179	197	321	563	325	232
"H20J04.7"	0	0	1	0	0	0	0	0	0	0	0	0
"H20J04.8"	290	124	60	42	117	51	39	28	86	61	45	44
"H20J04.9"	87	70	53	37	27	51	47	35	67	85	59	40
"H20J18.1b.1"	0	0	0	0	0	0	1	0	0	0	0	0
"H21P03.1"	361	183	119	118	251	98	75	62	153	143	88	78
"H21P03.2.2"	158	98	93	47	113	67	43	34	103	85	72	61
"H21P03.3d"	7	3	4	4	2	1	1	3	0	4	0	1
"H22D07.1"	1	2	1	3	5	0	1	0	4	2	1	0
"H22K11.1"	7	1	1	4	2	2	3	0	0	4	0	3
"H22K11.2"	6	0	0	1	2	4	1	0	4	5	2	2
"H22K11.3"	0	0	0	0	0	1	1	0	0	0	0	0
"H23L24.2"	2	0	1	0	0	1	0	0	0	0	0	0
"H23L24.3b"	27	16	8	6	6	11	5	7	10	11	8	8
"H23L24.4"	6	0	0	0	1	1	1	1	0	1	2	0
"H23L24.5"	1	1	0	1	0	1	0	1	0	0	0	0
"H23N18.1"	0	0	1	0	0	0	0	0	0	0	0	0
"H23N18.4"	0	0	0	0	0	1	0	0	0	0	0	0
"H23N18.6"	21	6	4	7	8	3	5	5	6	8	4	1
"H24G06.1e"	4	1	2	0	0	0	1	0	2	4	1	1
"H24K24.2e"	3	0	1	0	0	0	0	0	0	1	0	2
"H24K24.3b.1"	4	3	2	1	0	0	0	2	2	0	0	2
"H24K24.4c"	345	195	84	71	113	119	79	53	153	102	93	75
"H24K24.5a"	140	78	66	86	203	112	67	91	276	300	180	161
"H24O09.1a"	1	2	0	0	0	0	0	0	0	0	0	0
"H24O09.2"	83	45	41	19	32	44	31	25	36	64	44	30
"H25K10.1"	0	0	0	1	0	0	0	0	0	1	0	0
"H25K10.142"	0	0	0	0	0	0	0	0	0	1	0	0
"H25K10.3"	0	0	0	0	1	0	0	0	0	0	0	0
"H25K10.6"	5	0	0	0	0	0	0	0	0	0	0	0
"H25P06.1"	181	99	37	32	100	59	40	25	74	44	43	33
"H25P06.2b"	1289	1190	629	522	500	591	523	380	896	632	659	581
"H25P06.5"	233	220	149	138	177	209	118	113	224	298	187	156
"H25P19.1"	391	416	269	239	244	253	178	249	596	867	541	413
"H26D21.1"	272	258	166	123	154	188	136	99	202	227	142	126
"H26D21.2"	371	251	156	103	201	141	118	82	175	174	129	113
"H27A22.1b"	194	85	61	54	76	57	48	33	79	81	41	38
"H27D07.2"	0	1	0	0	1	0	0	0	0	0	0	0
"H27D07.4"	1	1	2	0	0	0	1	0	1	4	1	2
"H27D07.6"	35	47	44	33	24	30	14	20	53	62	30	24
"H27M09.1"	276	201	111	113	179	108	116	63	128	134	101	101
"H27M09.2"	619	492	330	261	251	301	243	194	440	357	293	258
"H27M09.3"	1546	1052	595	546	683	612	459	389	858	763	614	493
"H27M09.4"	7	3	0	1	1	0	0	0	2	2	2	0
"H27M09.5"	6	1	1	2	2	0	2	3	1	0	3	2
"H28G03.1c"	3	8	2	3	5	1	2	1	4	2	1	1
"H28G03.2c.1"	1	0	0	0	0	0	0	0	0	0	0	0
"H28G03.3"	0	1	0	0	0	0	0	0	0	0	0	0
"H28G03.4"	8	4	1	4	1	5	4	5	5	5	1	3
"H28G03.6"	91	62	36	31	38	32	26	16	55	29	35	29
"H28O16.1d.9"	1	1	0	2	3	1	2	0	0	1	0	0
"H28O16.2"	802	351	226	135	279	198	131	109	296	189	153	131
"H30A04.11"	0	0	0	0	0	0	1	0	0	0	0	0
"H30A04.1b"	9	0	0	1	0	0	0	1	3	1	1	0
"H31B20.2"	21	16	5	2	13	4	3	8	2	8	6	10
"H31G24.2"	53	41	17	13	16	13	9	11	16	16	7	4
"H31G24.3"	29	23	8	2	8	13	6	5	16	14	5	7
"H31G24.4.2"	195	142	74	65	132	58	44	29	93	58	59	52
"H32C10.1c"	0	0	1	1	0	0	0	0	0	0	0	0
"H32C10.3"	1	0	0	0	2	1	0	0	0	3	1	0
"H32C10.99"	0	0	0	0	0	0	0	0	1	0	0	0
"H32K16.1"	21	10	13	14	7	9	4	1	5	3	2	0
"H34C03.1"	61	33	6	18	35	21	12	10	18	26	5	18
"H34C03.2a"	161	79	25	28	68	28	13	17	46	26	22	16
"H34I24.1"	7	11	11	6	9	11	9	6	12	11	5	5
"H34I24.2"	3	1	1	0	2	0	1	2	2	2	1	1
"H35B03.1"	0	0	0	0	1	0	0	1	1	0	0	0
"H35N09.2"	1362	746	452	417	729	528	367	441	709	1005	568	438
"H36L18.1"	1	2	2	1	0	0	1	0	0	0	0	0
"H36L18.2a"	0	0	2	0	0	1	1	0	0	0	0	0
"H37A05.1"	728	463	286	250	274	269	193	188	417	392	283	220
"H37A05.2"	5	11	5	4	4	5	3	1	10	4	4	2
"H37A05.4a"	21	13	7	2	14	10	3	7	13	13	10	6
"H37N21.1"	238	169	106	76	93	90	56	76	134	119	99	69
"H38K22.1"	523	363	225	199	242	200	140	107	265	263	188	188
"H38K22.2a"	95	54	41	28	70	30	28	29	74	89	52	43
"H38K22.3"	62	37	30	17	50	23	11	13	19	22	24	16
"H38K22.6"	2	0	1	0	0	0	0	0	0	0	0	0
"H38K22.7"	0	1	0	1	1	0	0	0	0	0	0	0
"H39E20.1"	620	741	422	396	218	419	360	412	608	747	501	361
"H39E23.1l"	226	110	75	61	102	57	48	45	72	68	55	50
"H40L08.1"	2248	1064	824	652	1342	775	535	555	1048	1071	832	655
"H40L08.3"	87	59	25	30	34	36	21	10	27	32	12	16
"H41C03.3.3"	2	0	2	1	3	1	1	2	1	1	0	0
"H42K12.1b"	17	14	8	2	0	8	3	2	9	9	6	7
"H43E16.1"	1	3	0	0	2	1	1	0	0	0	0	1
"H43I07.1"	196	112	92	56	92	71	38	45	103	110	83	69
"H43I07.2"	264	196	116	78	147	104	60	51	149	106	86	80
"H43I07.3"	301	132	86	76	117	64	48	37	105	105	96	56
"JC8.13a"	1	0	1	0	0	1	0	0	2	0	0	0
"JC8.14"	1	4	3	5	1	0	3	7	5	6	3	4
"JC8.15"	2	4	0	1	1	0	2	2	4	0	1	1
"JC8.16"	1	0	2	0	0	0	0	0	0	0	0	0
"JC8.17"	69	74	54	50	79	60	41	57	113	138	84	58
"JC8.2"	168	98	60	54	92	74	29	56	76	100	79	43
"JC8.3b"	21	8	1	0	13	3	1	1	2	1	4	2
"JC8.3c.6"	54	8	5	3	7	1	1	5	5	3	13	4
"JC8.4"	146	138	92	52	90	92	49	47	137	150	100	66
"JC8.5a"	8	2	1	0	2	0	0	0	0	0	3	0
"JC8.6a"	52	20	26	17	48	17	11	8	16	25	11	10
"JC8.7a"	35	8	7	3	18	3	4	5	5	4	5	5
"JC8.8"	1	3	1	3	0	1	1	0	4	0	0	1
"K01A11.1"	172	134	103	102	110	105	56	85	176	486	328	195
"K01A11.2"	58	36	22	12	37	25	12	11	23	30	21	13
"K01A11.3"	947	741	530	454	736	632	402	369	758	949	589	385
"K01A11.4a"	404	384	155	144	252	218	124	145	311	398	225	182
"K01A11.5"	11	12	8	2	2	4	3	3	4	3	2	2
"K01A12.2"	3	0	1	0	0	0	0	0	0	0	0	0
"K01A12.3"	2	0	1	0	0	1	1	0	0	0	0	0
"K01A12.t1"	0	0	0	0	0	0	0	0	1	0	0	0
"K01A2.1"	2	1	4	2	3	3	1	3	4	4	5	0
"K01A2.10b.2"	0	1	0	1	0	1	0	0	1	3	0	0
"K01A2.3a"	42	12	8	3	2	7	8	3	8	16	9	5
"K01A2.4b"	11	4	4	2	0	3	1	3	4	10	5	5
"K01A2.5a"	9	9	13	3	7	7	1	5	16	12	9	3
"K01A2.6"	0	0	1	0	0	0	0	0	1	0	0	0
"K01A2.8c"	1	1	0	1	0	0	0	2	2	1	0	0
"K01A2.9"	3	0	0	1	0	0	0	0	0	0	0	0
"K01A6.2c"	12	5	7	2	5	7	1	2	2	3	5	2
"K01A6.6a"	11	5	3	5	4	6	5	4	7	9	8	5
"K01A6.t1"	0	1	0	0	0	0	0	0	0	0	0	0
"K01B6.1"	2003	1766	950	794	1281	968	788	692	1433	1690	1170	739
"K01B6.2"	0	2	0	0	0	0	0	0	0	0	0	0
"K01B6.3"	26	38	15	15	19	32	19	28	29	48	19	17
"K01B6.8"	0	0	1	0	0	0	0	0	0	0	0	0
"K01C8.1.2"	27	2	2	2	13	2	0	1	0	0	0	0
"K01C8.10.2"	290	279	168	123	131	156	107	101	199	153	96	114
"K01C8.2"	209	35	45	26	95	34	7	5	7	9	2	5
"K01C8.3b"	584	339	211	145	216	150	140	103	299	150	180	145
"K01C8.5"	1056	640	339	305	585	315	223	190	492	348	246	239
"K01C8.6"	60	50	30	29	39	43	21	19	45	38	37	26
"K01C8.7a"	77	63	53	35	35	39	31	25	55	52	27	24
"K01C8.8"	7	0	1	1	6	2	2	1	0	0	1	3
"K01C8.9"	511	618	371	295	212	360	228	213	531	433	357	334
"K01D12.1"	74	16	9	12	41	25	20	4	4	6	4	3
"K01D12.11"	27	23	22	16	35	19	22	33	67	62	39	21
"K01D12.12"	1	2	2	0	0	0	0	1	0	0	2	2
"K01D12.13a"	1	0	0	0	0	0	0	1	2	0	1	1
"K01D12.14"	0	2	0	0	0	0	0	0	0	0	0	1
"K01D12.3"	0	0	0	0	0	0	0	1	0	0	0	0
"K01D12.5"	0	0	0	0	2	0	1	0	0	0	0	0
"K01D12.6"	674	482	258	211	334	281	216	196	398	389	279	225
"K01F9.2"	0	0	0	0	0	0	0	0	0	1	0	0
"K01G12.1"	0	0	0	0	1	0	0	0	0	0	1	0
"K01G12.3"	303	198	118	90	150	121	89	46	91	80	67	45
"K01G5.1"	223	190	112	89	98	126	81	96	176	126	110	114
"K01G5.10"	10	5	2	1	2	1	1	2	6	9	2	2
"K01G5.2b"	9	3	1	1	1	3	1	0	5	1	2	1
"K01G5.3"	144	103	48	44	106	62	40	40	88	121	68	44
"K01G5.4"	544	445	214	185	231	217	163	143	377	313	197	191
"K01G5.5"	804	768	364	326	311	436	318	237	592	545	437	357
"K01G5.6"	227	192	130	107	118	119	97	94	151	190	130	74
"K01G5.7.2"	5315	2245	1091	999	2472	1050	900	581	1691	1115	900	906
"K01G5.8b"	958	396	152	110	340	158	100	65	198	162	119	106
"K01G5.9.3"	409	308	174	158	153	144	107	64	257	175	144	141
"K01H12.1a"	10	8	4	4	3	4	3	2	4	6	7	4
"K01H12.2"	10	1	2	3	0	0	0	0	2	3	0	1
"K01H12.3a"	1	0	0	1	0	0	0	0	0	0	0	2
"K01H12.4"	0	1	0	0	0	0	0	0	0	0	0	0
"K02A11.2"	4	9	2	0	0	3	2	2	0	2	0	1
"K02A11.3"	5	5	3	3	0	0	0	0	1	0	1	0
"K02A11.4"	0	1	0	0	0	1	0	0	1	0	0	2
"K02A2.2"	0	0	0	0	0	0	1	0	0	0	0	0
"K02A2.3"	2	3	1	2	5	3	1	0	2	5	2	0
"K02A2.4"	3	3	2	1	8	7	1	3	1	8	2	5
"K02A2.5"	1	0	0	0	0	0	0	0	1	1	0	0
"K02A2.6"	0	0	0	0	0	0	0	0	2	0	0	1
"K02A4.1"	14	13	7	3	7	8	6	4	11	11	4	3
"K02A4.2.2"	0	0	0	0	0	0	0	0	0	0	1	0
"K02A4.4"	0	1	0	0	0	0	0	0	0	0	0	0
"K02A4.9"	1	0	0	0	1	0	0	0	1	0	0	0
"K02A6.3a"	1	0	0	2	2	0	0	1	0	1	0	2
"K02B12.1"	0	4	0	1	0	0	0	1	0	0	1	1
"K02B12.2"	17	38	20	16	21	20	21	30	49	71	46	31
"K02B12.3.2"	744	350	202	186	276	245	156	185	324	416	235	220
"K02B12.4b"	11	2	4	3	6	5	2	0	0	1	2	2
"K02B12.5"	181	111	70	51	77	65	43	37	73	80	58	45
"K02B12.6"	0	0	1	0	0	0	1	1	0	0	1	1
"K02B12.7"	254	139	68	59	148	72	51	27	126	81	47	44
"K02B12.8b"	145	94	51	39	59	41	27	21	57	43	34	33
"K02B12.9"	6	6	6	3	7	5	4	1	6	4	2	4
"K02B2.1"	429	274	164	104	173	166	97	69	197	131	117	114
"K02B2.3"	85	67	58	20	45	30	23	35	58	48	27	31
"K02B2.4a"	5	5	4	3	5	3	6	3	6	2	5	4
"K02B2.5"	104	88	43	26	86	36	14	28	57	70	37	30
"K02B2.6"	0	1	0	0	0	0	0	0	0	0	0	0
"K02B7.2"	12	3	3	1	13	3	1	2	3	0	2	1
"K02B7.3b"	812	690	444	385	517	512	328	336	620	911	562	348
"K02B9.1"	148	90	38	32	42	35	23	25	55	42	40	44
"K02B9.2"	64	55	22	33	18	40	20	24	51	43	34	26
"K02B9.5"	2	0	0	0	1	0	0	0	0	1	0	1
"K02C4.2"	0	0	0	0	0	0	1	0	0	0	0	0
"K02C4.3"	386	269	129	103	231	135	121	96	240	286	164	145
"K02C4.4"	739	216	188	122	279	156	90	36	66	74	40	34
"K02C4.5"	9	1	1	0	6	2	3	1	1	2	2	0
"K02C4.7"	19	14	3	4	2	6	5	2	9	4	6	4
"K02C4.8"	11	4	0	1	0	4	5	2	7	4	2	0
"K02D10.2"	552	373	250	221	372	270	206	230	333	464	267	209
"K02D10.3"	671	477	300	253	537	318	178	242	438	556	320	251
"K02D10.4"	17	9	1	5	8	6	2	3	6	9	3	2
"K02D10.5"	195	97	72	58	46	71	39	52	119	109	74	66
"K02D10.8"	8	5	7	3	4	3	7	2	2	11	3	12
"K02D3.2"	0	0	0	0	1	0	0	1	1	1	0	0
"K02D7.2"	0	1	0	0	1	0	0	0	0	0	0	0
"K02D7.3a"	0	0	1	0	2	0	0	1	0	1	2	0
"K02D7.4"	13	9	6	5	18	7	6	4	12	20	7	6
"K02D7.5"	6	11	5	4	1	4	2	6	8	6	7	5
"K02D7.6"	26	14	5	5	7	9	2	2	10	1	8	2
"K02E10.1"	27	12	8	3	9	12	5	7	9	17	9	9
"K02E10.2b"	119	70	30	40	43	49	35	27	48	62	33	25
"K02E10.4b"	0	1	0	1	0	0	2	0	0	0	0	0
"K02E10.5"	2	0	0	0	0	0	1	0	1	1	0	0
"K02E10.6"	12	9	5	1	5	10	4	2	6	7	5	5
"K02E10.7"	1	0	0	0	1	0	0	0	0	0	0	0
"K02E10.8b"	10	0	0	0	0	0	0	0	0	0	1	1
"K02E11.1"	17	0	4	1	1	1	2	0	0	1	0	0
"K02E11.11"	0	0	0	1	2	0	1	0	0	0	0	0
"K02E11.2"	0	0	0	0	0	0	0	0	0	1	0	0
"K02E2.1"	0	0	0	0	0	2	0	0	0	0	0	0
"K02E2.11"	1205	975	571	596	649	569	309	375	712	847	621	407
"K02E2.2"	30	17	11	6	12	7	4	10	10	18	10	10
"K02E2.4"	1	2	1	0	0	0	2	1	0	0	1	1
"K02E2.5"	0	0	0	2	1	0	0	0	0	1	0	0
"K02E2.6.1"	3569	4418	2619	2822	2336	2931	1944	1885	3415	4291	2596	1894
"K02E2.9"	210	69	36	20	117	31	16	24	41	45	43	26
"K02E7.1"	0	0	0	0	3	0	0	0	0	1	1	0
"K02E7.10"	0	1	0	0	0	0	0	0	0	0	0	0
"K02E7.12.1"	90	26	6	4	44	8	8	10	7	12	13	11
"K02E7.2"	1	0	0	1	0	0	0	1	1	0	0	1
"K02E7.4"	21	19	2	1	10	5	0	4	8	15	8	3
"K02E7.5"	7	0	0	1	1	1	0	0	2	2	1	3
"K02E7.6"	45	29	21	7	20	19	18	12	35	40	26	17
"K02E7.7"	119	67	41	28	93	27	31	19	41	66	50	24
"K02E7.9"	57	52	22	20	43	34	22	22	47	52	57	36
"K02F2.11"	1	0	0	1	0	0	0	0	1	0	0	0
"K02F2.1a"	0	0	0	0	0	0	0	2	2	0	1	0
"K02F2.2.1"	0	2	1	0	4	2	1	3	2	1	0	1
"K02F2.3"	647	364	241	183	339	199	125	99	267	190	183	150
"K02F2.4"	382	277	174	111	210	154	99	69	227	191	134	121
"K02F2.5"	0	0	0	0	0	2	0	0	1	0	0	1
"K02F2.6"	664	316	237	207	544	204	184	273	429	531	286	196
"K02F3.1"	532	282	169	130	226	146	91	76	206	168	119	90
"K02F3.10"	87	49	32	15	32	30	11	18	28	13	19	17
"K02F3.11"	297	119	88	65	161	65	39	52	119	104	65	69
"K02F3.12a"	1	0	1	1	0	0	0	0	0	0	0	0
"K02F3.14"	2	4	5	1	5	9	2	3	8	10	7	1
"K02F3.15"	0	1	0	0	0	0	0	0	0	1	0	1
"K02F3.2a"	0	0	0	1	0	0	0	1	0	1	0	0
"K02F3.3"	18	23	26	8	22	12	13	16	19	31	15	9
"K02F3.4.2"	13906	9302	6918	5574	8881	6871	4965	4542	7793	9673	5957	4867
"K02F3.5"	0	0	1	0	1	0	0	0	0	1	0	0
"K02F3.6"	9	9	1	4	6	1	1	0	0	1	2	1
"K02F3.8"	23	3	4	6	10	6	8	1	2	1	0	2
"K02F3.9"	0	1	1	0	1	1	1	0	0	0	0	1
"K02F6.1"	192	110	40	37	170	48	34	29	61	73	42	36
"K02F6.11"	128	87	56	41	84	69	70	60	129	144	74	69
"K02F6.3"	5	1	1	2	5	1	1	0	3	0	0	2
"K02F6.4"	2	0	1	1	1	0	0	0	0	3	0	0
"K02F6.6"	7	3	1	4	8	5	4	6	13	12	4	1
"K02F6.7"	866	983	660	531	526	587	369	388	609	730	487	367
"K02F6.9"	19	19	19	13	11	8	10	10	19	21	12	13
"K02G10.1"	25	10	2	6	2	2	3	2	5	5	3	3
"K02G10.3.2"	0	0	0	0	0	1	2	0	0	1	0	0
"K02G10.6"	58	35	14	24	23	36	31	29	29	31	10	15
"K02G10.8b"	32	23	12	9	8	17	12	4	18	14	10	18
"K02G10.9"	2	1	0	0	0	4	0	0	0	0	0	0
"K02H11.2"	0	0	1	0	0	0	0	0	1	1	0	0
"K02H11.4"	0	0	0	0	0	0	0	0	0	0	1	0
"K02H11.6"	0	0	0	0	1	0	0	0	0	0	1	0
"K02H11.9"	1	4	1	1	1	4	2	3	5	5	0	1
"K02H8.2"	0	0	0	0	1	0	0	0	0	0	0	0
"K02H8.6"	1	0	0	0	0	0	0	0	0	0	0	0
"K03A1.1"	0	4	2	2	1	3	2	0	0	0	2	0
"K03A1.5"	304	207	132	90	173	129	102	64	119	110	90	81
"K03A1.6"	39	37	19	18	22	19	14	20	39	37	23	20
"K03A11.1"	9	6	1	2	1	7	3	1	3	9	5	1
"K03A11.2"	0	0	0	1	0	0	0	0	0	0	0	0
"K03A11.3"	1	0	0	0	0	0	0	0	0	0	0	0
"K03A11.5"	0	0	0	1	0	0	0	0	0	0	0	0
"K03B4.1"	642	333	158	133	345	155	119	100	261	237	169	144
"K03B4.2"	96	60	27	20	49	32	16	24	31	35	21	31
"K03B4.3b.1"	0	0	0	0	0	0	1	0	0	0	0	0
"K03B4.5"	0	2	1	1	0	0	1	1	0	3	0	1
"K03B4.6"	19	15	6	9	26	11	3	3	5	8	1	3
"K03B4.7b"	158	114	62	47	68	45	36	29	75	64	52	51
"K03B8.11"	0	1	0	0	0	0	0	0	0	0	0	0
"K03B8.14"	0	0	0	0	0	1	0	0	0	0	0	0
"K03B8.3"	5	0	2	0	3	0	0	2	3	0	2	2
"K03B8.7"	7	2	1	3	3	2	0	0	0	2	0	0
"K03B8.9.1"	1	2	1	1	0	3	1	0	0	1	0	0
"K03C7.2c.2"	0	1	2	0	3	3	1	0	0	2	0	0
"K03D10.1"	174	148	191	104	98	135	148	52	107	38	25	17
"K03D10.3"	293	167	111	90	119	75	55	59	88	83	83	60
"K03D3.1"	0	2	0	1	0	0	0	0	2	0	0	0
"K03D3.10"	3	1	0	0	0	1	0	0	0	0	0	0
"K03D3.12"	0	0	0	0	0	0	0	0	1	0	0	0
"K03D3.13"	3	2	1	0	0	3	0	0	2	0	0	0
"K03D3.2"	100	89	37	26	96	31	26	27	45	44	31	23
"K03D3.3"	2	0	1	1	2	0	2	0	1	2	0	1
"K03D3.4"	1	0	4	0	1	1	0	1	1	2	1	0
"K03D3.5"	1	0	0	0	0	0	0	0	0	0	0	0
"K03D3.6"	7322	4288	2794	2193	4903	2643	1785	1664	3217	3646	2408	1954
"K03D3.8"	6063	5250	2896	2315	3029	3267	2145	1882	3774	4134	2804	2065
"K03D7.1"	672	412	253	178	352	229	156	124	260	329	216	145
"K03D7.10"	3	0	0	0	0	0	0	0	0	0	0	0
"K03D7.3"	4	1	0	0	2	0	0	0	0	0	1	0
"K03D7.4"	0	0	0	0	0	1	0	0	0	0	0	0
"K03D7.6"	2	6	2	1	1	2	1	3	0	2	3	1
"K03D7.7"	0	1	0	0	0	0	0	0	0	0	0	0
"K03D7.8"	0	1	0	0	1	0	2	0	0	1	0	0
"K03D7.9"	0	0	1	0	0	0	0	0	1	0	0	0
"K03E5.1"	601	497	322	294	445	299	216	345	550	773	466	407
"K03E5.2c.1"	0	0	0	0	0	0	0	0	1	0	0	0
"K03E5.3"	179	119	70	69	82	96	44	60	94	91	71	61
"K03E5.8"	2	0	0	0	0	0	0	0	0	0	0	0
"K03E5.9"	15	5	2	3	6	3	0	2	2	1	0	0
"K03E6.3"	0	0	1	0	0	0	0	0	0	0	0	0
"K03E6.4"	0	0	0	0	3	0	0	0	0	0	0	0
"K03E6.6"	29	17	20	7	15	16	9	8	10	22	14	10
"K03E6.7"	723	545	337	310	623	419	249	303	510	740	395	300
"K03F8.2"	43	7	4	14	13	8	14	7	6	6	1	4
"K03H1.1"	0	0	0	0	0	1	1	0	0	0	0	0
"K03H1.10.2"	0	1	0	0	0	0	0	0	1	1	0	0
"K03H1.11"	154	84	52	44	75	47	27	16	59	61	35	24
"K03H1.12"	1	2	0	2	3	2	1	0	0	0	0	1
"K03H1.2"	1271	720	425	312	540	397	283	244	578	434	390	370
"K03H1.5"	1	1	1	1	0	2	2	3	0	1	0	0
"K03H1.7"	284	191	79	74	157	80	62	66	138	149	106	83
"K03H1.8"	0	0	0	0	0	0	0	1	0	0	0	0
"K03H6.1"	4	0	0	1	3	2	2	0	0	7	3	0
"K03H6.2a"	8	3	1	3	1	2	0	0	3	8	0	2
"K03H6.4"	8	21	18	7	6	8	13	1	18	18	12	6
"K03H6.5b"	1646	821	651	355	879	412	304	378	591	756	389	387
"K03H9.3"	27	18	13	7	14	22	9	2	5	3	1	0
"K04A8.1.2"	1	1	0	0	1	0	1	0	0	0	0	0
"K04A8.10"	4	1	1	0	4	0	1	0	1	3	1	0
"K04A8.20"	2	2	3	0	0	1	0	1	1	0	0	0
"K04A8.5a"	0	0	0	0	1	0	1	0	0	0	0	0
"K04A8.8"	2	1	5	0	3	3	3	0	0	1	0	0
"K04B12.1"	17	11	9	13	11	9	11	5	3	11	11	8
"K04B12.2b.2"	0	1	0	0	0	0	0	1	0	2	1	0
"K04B12.3a"	11	13	1	4	5	3	2	6	13	10	7	6
"K04C1.1a"	0	2	0	0	0	0	0	0	0	0	0	0
"K04C1.2a"	0	0	0	0	7	0	0	0	0	0	1	0
"K04C1.3"	33	29	12	6	19	13	14	11	14	25	16	10
"K04C1.4"	20	10	5	5	7	5	5	7	10	13	6	7
"K04C1.5"	28	18	4	3	7	4	3	5	11	5	4	5
"K04C1.6"	4	0	0	1	1	3	0	0	0	0	0	0
"K04C2.2"	285	197	112	106	158	125	61	54	155	109	83	70
"K04C2.3b"	2778	1872	1371	1215	2169	1366	824	484	1275	1134	851	692
"K04C2.7"	0	0	0	0	0	0	0	0	1	0	0	0
"K04C2.8"	112	20	4	2	25	7	2	15	25	14	33	29
