ID mean fc padj line1 line2
C46G7.3 8.56558614910428 -1.08258331134617 0.00276110477592366 PMA D25
F07B7.10 4.73379175878633 3.01484067625406 1.66038072808356e-11 PMA D25
F07B7.3 8.03770635023991 2.69165173987146 5.82288857331781e-24 PMA D25
F07D10.1 8.45247536844325 -1.24803002291207 0.000157977301020608 PMA D25
F08G2.2 6.79589992682783 3.6595727237035 3.18061717058999e-40 PMA D25
F13H8.8 7.28654920345491 1.09615842870851 0.00429185808393969 PMA D25
F14F11.2 8.85620011693416 1.07615211851121 0.00363969629928953 PMA D25
F31C3.14 10.040217419364 -1.19947063468786 0.000138571490291469 PMA D25
F35H10.1 3.91559867976565 2.47989845090198 0.000179862886239048 PMA D25
F35H10.5 5.46054949104504 -1.65601813999963 0.00020742732996415 PMA D25
F36A2.3 11.7674824576457 0.923497402105905 0.00196270365016369 PMA D25
F39E9.6 3.62209709879034 -2.70568928944586 0.000164422849860564 PMA D25
F46G11.11 6.27943005083929 -1.27417334062239 0.00165563759992892 PMA D25
F52C9.1.2 8.21722439031153 1.72607527300421 3.12752693479464e-09 PMA D25
F54E12.5b 6.22971370348157 2.67068796709439 1.53739091870437e-17 PMA D25
F55G1.10 8.77375550866802 3.11591866947611 8.98387127449625e-33 PMA D25
F59A7.7 8.57249241287875 1.257772971853 0.000164422849860564 PMA D25
F59A7.9 6.5693849700575 1.36865862452478 0.000171589104069173 PMA D25
H14A12.5 8.70692748032106 3.98170316468381 3.10376900804184e-54 PMA D25
K01A2.4b 6.7891203256123 1.08568559011666 0.00916885089849809 PMA D25
K06C4.3 2.69236957228063 3.57621780057012 8.23478977378418e-05 PMA D25
M01E11.4c 8.19623713189955 1.11953035585983 0.00196270365016369 PMA D25
T10C6.12 6.16556415040953 2.04136003121927 1.53944105855955e-09 PMA D25
T11F8.5 7.79323152017783 1.30174463678877 9.57113564461922e-05 PMA D25
T11G6.7 4.2710440295719 -1.85375483675448 0.00634914140453938 PMA D25
T16H12.2 10.6688919653865 1.0530148504145 0.00103833080882481 PMA D25
T23D8.6 6.91889387726883 1.95026552776253 5.84046120518278e-11 PMA D25
T23G11.1 7.22986185616784 1.04077682210918 0.00988668012090747 PMA D25
W02B8.2 10.334691053823 -0.981327918122947 0.00563246673523776 PMA D25
W02B8.3 7.13378610439125 2.29363277231113 3.27238386095482e-16 PMA D25
W02B8.4 5.24063358309404 2.46888792665582 1.24584460510945e-09 PMA D25
W02B8.6 4.30576049605854 2.0521195872734 0.000931790743880933 PMA D25
W04B5.3c 7.8785279874225 1.07441776018795 0.0045447547376751 PMA D25
Y116A8B.2 5.88489285993719 -1.40529000359501 0.00110695823524238 PMA D25
Y44E3A.1a 4.16333668451083 2.83002343804474 4.00806833247751e-07 PMA D25
Y44E3A.2 8.1659116849668 1.71691332652823 3.9019672854257e-09 PMA D25
Y46G5A.19b.2 10.0224546548419 2.71297054175299 2.89291016052532e-27 PMA D25
Y53G8AM.1 5.84630219458801 -1.51037747546007 0.000273657651454156 PMA D25
