ID	up_or_down	duration	completeness	stgen	wilcox_sig	wilcox_dir	mRNA_fold_change	mRNA_before	mRNA_after	22G_fold_change	22G_before	22G_after	MAplot_significant
F35F11.2	1	3	1	5	0	0	1.30536441171853	6.63875115931406	17.8788791250893	-0.725327296100303	328.831350344656	198.501727210331	0
F35F11.2	2	2	1	8	0	0	0.239058826819119	7.89943471698183	9.50331279378721	-0.25520808248304	350.429500699581	293.450928082802	0
F35F11.2	1	3	0	10	0	0	0.221727512711645	10.5843986059938	12.5089042944811	-1.20631578571802	220.443471885312	94.9678236759703	0
F37D6.6	2	6	1	3	0	0	0.0906192930975527	66.8614947308281	71.2607636183537	1.00158884138901	57.7358477330599	116.601138418224	0
F37D6.6	1	4	0	9	0	0	-0.0681309891090267	70.3245146740253	67.0345245046275	0.32942237277755	38.4392589501433	48.5558308117428	0
F39C12.1	2	3	1	6	1	-1	-1.56503644731097	2704.18046766976	913.267597129881	0.601291880886293	1320.29767243187	2003.50693095494	0
F39C12.1	1	4	0	9	1	-1	-1.05663799509512	3255.8349631515	1564.72692725275	-0.690261909477638	1229.11874350336	761.355427128127	0
F40E3.5.2	2	2	1	6	1	1	-0.327271047070965	34.2678516564213	27.1099843303861	0.666098430369783	9.14152691100208	15.0923309299807	0
F40E3.5.2	1	5	0	8	1	1	0.683507611284779	13.8240107547182	22.8079507050893	-0.549638451275052	10.0698132384937	6.56280030856106	0
F44G3.6.2	2	5	1	5	0	0	0.127337246884945	568.719682647904	621.291049596855	1.09262484224786	36.2105951272389	78.3559449514464	0
F44G3.6.2	1	3	0	10	0	0	0.0718793694125512	717.975038773247	754.70389243369	-1.30371382279865	34.9601981844548	13.56683195371	0
F47B10.1	2	3	1	2	1	-1	-0.520935523611637	4258.28056902264	2967.37681376818	0.58858090000169	238.755831009267	359.536869974055	0
F47B10.1	1	4	1	5	1	-1	0.191665153178464	3527.38978264887	4028.70742952013	-0.560884004599352	335.682003476837	227.232240359195	0
F47B10.1	2	4	0	9	1	-1	-0.43498405975469	3556.13964743517	2630.22305358946	0.379290634433262	358.141388267189	466.135975792731	0
F49C5.t3	2	2	1	1	0	0	NA	NA	NA	0.800151001215986	131.415503622128	229.572914431988	0
F49C5.t3	1	2	1	3	0	0	NA	NA	NA	-1.21006786650666	286.05488195016	123.078979441459	0
F49C5.t3	2	3	1	5	0	0	NA	NA	NA	1.02363636333193	112.546444314391	229.844105190909	0
F49C5.t3	1	5	0	8	0	0	NA	NA	NA	-0.110827302368775	173.200787702092	160.319836109134	0
F52A8.4a	1	2	1	1	1	-1	0.26099384759811	61.3951851818366	73.7683944395433	-0.118691524194618	84.0028513349287	77.2895478587693	0
F52A8.4a	2	1	1	3	1	-1	0.287835762478387	84.9034853724801	103.871621545397	0.27128927892584	66.9210962360467	80.9730127904334	0
F52A8.4a	1	2	1	4	1	-1	-0.0923582213941287	103.871621545397	97.3683503366062	-0.0840116895153011	80.9730127904334	76.3358491871524	0
F52A8.4a	2	6	1	6	1	-1	-0.674438883985947	108.763181344294	67.7749608259652	0.435648940705723	65.296620792872	88.6674442136366	0
F52A8.4a	1	1	0	12	1	-1	1.10786079068081	56.5741890787	123.087249665774	0.0565337868167628	53.1609061230641	55.3254003352528	0
F54D10.3	2	1	1	4	0	0	-0.673133658682196	67.6373349597934	42.045424008989	1.06133330925536	2204.0854081556	4600.70291062568	0
