ID up_or_down duration completeness stgen
B13103 Y71H2AL.1 2 5 0 8
B827 Y75B12B.4 2 2 1 6
B13104 Y75B12B.4 1 5 0 8
B930 Y76A2B.3 2 1 1 8
B1029 Y76A2B.3 1 1 1 9
B1118 Y76A2B.3 2 1 1 10
B13105 Y76A2B.3 1 2 0 11
B13106 ZC123.4c 2 1 0 12
B220 ZC317.6 1 1 1 1
B328 ZC317.6 2 1 1 2
B429 ZC317.6 1 1 1 3
B542 ZC317.6 2 1 1 4
B13107 ZC317.6 1 8 0 5
B543 ZC334.14 2 1 1 4
B13108 ZC334.14 1 8 0 5
B544 ZC416.1 1 1 1 4
B13109 ZC416.1 2 8 0 5
B221 ZK1098.6 1 1 1 1
B432 ZK1098.6 2 2 1 2
B829 ZK1098.6 1 4 1 4
B931 ZK1098.6 2 1 1 8
B13110 ZK1098.6 1 4 0 9
B329 ZK662.3b 2 1 1 2
B433 ZK662.3b 1 1 1 3
B932 ZK662.3b 2 5 1 4
B13111 ZK662.3b 1 4 0 9
