ID	up_or_down	duration	completeness	stgen	wilcox_sig	wilcox_dir	mRNA_fold_change	mRNA_before	mRNA_after	22G_fold_change	22G_before	22G_after	MAplot_significant	ID
F33E2.6	2	1	1	3	0	0	0	0	0	0.780519657278177	1096.62130161198	1884.43843442261	0	F33E2.6
F33E2.6	1	2	1	4	0	0	0	0	0	-0.423020756793619	1884.43843442261	1405.27552816926	0	F33E2.6
F33E2.6	2	3	1	6	0	0	0	0	0	0.816238496809433	1065.91617207888	1877.63569234552	0	F33E2.6
F33E2.6	1	1	1	9	0	0	0	0	0	0.408383056807601	1290.05683173721	1712.48737919842	0	F33E2.6
F33E2.6	2	1	1	10	0	0	0	0	0	-0.412865211993326	1712.48737919842	1286.05200941177	0	F33E2.6
F33E2.6	1	2	0	11	0	0	0	0	0	-0.00101457594936427	1286.05200941177	1285.1472076841	0	F33E2.6
F35F11.2	1	4	0	9	0	0	-0.501693804993864	8.91862356456883	6.00529654104735	0.521723278209732	129.883272855175	186.905071861485	0	F35F11.2
F48A11.1c	1	6	1	2	0	0	0.895555582413667	132.749846508534	247.818338304503	-0.548333559304325	450.882647071494	308.0016618725	0	F48A11.1
F48A11.1c	2	5	0	8	0	0	0.290287488188662	230.766131186311	282.42307954468	-0.104554932102799	496.3833312079	461.612172444744	0	F48A11.1
F49C5.4	1	2	1	2	1	1	2.44673963348741	0	4.45182643660784	-0.972367857240147	259.95514179692	132.000712231072	0	F49C5.4
F49C5.4	2	2	1	4	1	1	1.07113635089002	1.5448623125598	4.34697878866296	0.744205026213353	118.920872075213	199.873577313894	0	F49C5.4
F49C5.4	1	4	1	6	1	1	-0.607530323522725	11.0906959527087	6.93535662646345	-1.49701464994899	284.059257663383	99.9924333201757	0	F49C5.4
F49C5.4	2	3	0	10	1	1	0.338678102285752	1.20105930820947	1.78345377002699	-0.0631190989131571	296.135308663652	283.41566984822	0	F49C5.4
F49C5.t3	2	12	0	1	0	0	NA	NA	NA	2.15240125895511	48.1182569266808	217.363621389515	1	F49C5.t3
F52A8.4a	2	9	0	4	1	-1	0.137059111615742	71.0636663777507	78.2456181959332	0.671369240854448	36.591037561604	58.8668755102563	0	F52A8.4
F53G12.7a	1	4	0	9	0	0	0.452353413424243	1.48643726076147	2.40211861641894	0.490093332766745	206.233575141663	290.066962174643	0	F53G12.7
F54D10.3	2	2	1	4	0	0	0.21923804228966	63.3393548149518	73.8986394072703	1.63278710291235	1925.60335167941	5973.61886718613	1	F54D10.3
F54D10.3	1	7	0	6	0	0	-0.0929195050140112	65.1578387221636	61.0311383128784	-1.96742799604158	6644.39586084935	1698.28418496171	0	F54D10.3
F54D5.15b.2	2	1	1	8	0	0	0.361127861555049	50.6986197303259	65.4032394735047	-1.20569719244023	102.513948836414	43.8794840726943	0	F54D5.15
